skill	repo_url	publication_class	phase	status	upstream_url	last_synced_ref	agent_hosts	prerequisites	shared_baseline	link_subpath	packaging_notes
draft-release	https://github.com/elegantchaos/draft-release-skill	portable	1	published		ed3ce220c7534efe5dad8f9c78327ec3530e4c79	Codex-compatible skill hosts	GitHub CLI authenticated against the target repository	no		Primary source is the public repo checkout under ~/.local/share/skills.
install-mint	https://github.com/elegantchaos/install-mint-skill	portable	1	published		c80b27d8754dbb98fda0239601739a7fffb8aa52	Codex-compatible skill hosts	Homebrew	no		Primary source is the public repo checkout under ~/.local/share/skills.
install-release-tools	https://github.com/elegantchaos/install-release-tools-skill	portable-with-prereqs	2	published		e2c1a79f37f2fd99ce63f6900d680523a9ab6f2f	Codex-compatible skill hosts	Mint and access to the ReleaseTools package	no		Environment-coupled through Mint and ReleaseTools.
make-pr	https://github.com/elegantchaos/make-pr-skill	portable	1	published		76c94195dfdce6fbf3fa664f8d3c1f6426746d0b	Codex-compatible skill hosts	GitHub CLI authenticated against the target repository	no		Primary source is the public repo checkout under ~/.local/share/skills.
codex-git	https://github.com/elegantchaos/codex-git-skill	portable-with-prereqs	2	published		3dc6a21a07353e13f8de14140da10ab53d348cab	Codex.app and compatible Codex-style hosts	A Codex-style host with command escalation support	no		Codex-specific git escalation guidance for write-side git commands.
refresh-agents	https://github.com/elegantchaos/refresh-agents-skill	environment-policy	3	published		40c991ae8a8c46d1583bc6d68d92072838e6ad09	Codex-compatible skill hosts	A shared agents baseline repository	yes		Depends on a shared baseline layout and project-local AGENTS.md policy.
refresh-comments	https://github.com/elegantchaos/refresh-comments-skill	environment-policy	3	published		eeace4ce4ee69d0f7dc9cab2864c4ff50efb31bb	Codex-compatible skill hosts	AGENTS.md-guided repositories and an optional shared baseline	yes		Designed for teams using shared AGENTS.md policy files.
refresh-docs	https://github.com/elegantchaos/refresh-docs-skill	environment-policy	3	published		55165b17af6df29c6e558e87d0ebdb05f46bddb5	Codex-compatible skill hosts	AGENTS.md-guided repositories and an optional shared baseline	yes		Designed for teams using shared AGENTS.md policy files.
refresh-rules	https://github.com/elegantchaos/refresh-rules-skill	environment-policy	3	published		08e66a77a5a6776802e8f5bfcac3cb47e2c8d28c	Codex-compatible skill hosts	A Codex-style home directory and shared rules repository	yes		Intentionally tied to a Codex rules environment.
validation-flow	https://github.com/elegantchaos/validation-flow-skill	portable-with-prereqs	2	published		ee55160c3430bff89862a47e09d0ce439aa223ba	Codex-compatible skill hosts	ReleaseTools and repositories with rt validate support	no		Environment-coupled through ReleaseTools.
swiftui-pro	https://github.com/elegantchaos/SwiftUI-Agent-Skill	fork	4	forked	https://github.com/twostraws/SwiftUI-Agent-Skill	c5522b8385c5945a9b9d8088cf6d22edb17c3c32	Codex-compatible skill hosts	SwiftUI projects	no	swiftui-pro	Primary source is the fork checkout under ~/.local/share/skills.
swift-concurrency-pro	https://github.com/elegantchaos/Swift-Concurrency-Agent-Skill	fork	4	forked	https://github.com/twostraws/Swift-Concurrency-Agent-Skill	80c79269ee4d7d4bc57015162f136e422191e140	Codex-compatible skill hosts	Swift concurrency projects	no	swift-concurrency-pro	Primary source is the fork checkout under ~/.local/share/skills.
swift-testing-pro	https://github.com/elegantchaos/Swift-Testing-Agent-Skill	fork	4	forked	https://github.com/twostraws/Swift-Testing-Agent-Skill	36380b1e0246b066f51d7e92e73d9aac681bc80d	Codex-compatible skill hosts	Swift Testing projects	no	swift-testing-pro	Canonical Swift Testing guidance, including test design, migration, and detailed framework review advice.
swiftdata-pro	https://github.com/elegantchaos/SwiftData-Agent-Skill	fork	4	forked	https://github.com/twostraws/SwiftData-Agent-Skill	68872e17c3aeef805fd7247016db35a70f0b4ddd	Codex-compatible skill hosts	SwiftData projects	no	swiftdata-pro	Primary source is the fork checkout under ~/.local/share/skills.
